Name,String,MinimumCycles
IsPrefixOfCStrInArray,$AttrDef,29124
IsPrefixOfStringInTable_1,$AttrDef,24034
IsPrefixOfStringInTable_2,$AttrDef,22106
IsPrefixOfStringInTable_3,$AttrDef,21610
IsPrefixOfStringInTable_4,$AttrDef,22846
IsPrefixOfStringInTable_5,$AttrDef,65390
IsPrefixOfStringInTable_6,$AttrDef,19944
IsPrefixOfStringInTable_7,$AttrDef,19582
IsPrefixOfStringInTable_8,$AttrDef,19084
IsPrefixOfStringInTable_9,$AttrDef,19148
IsPrefixOfStringInTable_10,$AttrDef,18792
IsPrefixOfStringInTable_11,$AttrDef,18044
IsPrefixOfStringInTable_12,$AttrDef,19084
IsPrefixOfStringInTable_13,$AttrDef,16608
IsPrefixOfStringInTable_14,$AttrDef,17122
IsPrefixOfStringInTable_x64_1,$AttrDef,7526
IsPrefixOfStringInTable_x64_2,$AttrDef,24762
IsPrefixOfStringInTable_x64_3,$AttrDef,59994
IsPrefixOfStringInTable_x64_4,$AttrDef,23950
IsPrefixOfStringInTable_x64_5,$AttrDef,23780
IntegerDivision_x64_1,$AttrDef,95316
IsPrefixOfCStrInArray,$BadClus,38208
IsPrefixOfStringInTable_1,$BadClus,31024
IsPrefixOfStringInTable_2,$BadClus,22064
IsPrefixOfStringInTable_3,$BadClus,21610
IsPrefixOfStringInTable_4,$BadClus,22818
IsPrefixOfStringInTable_5,$BadClus,65382
IsPrefixOfStringInTable_6,$BadClus,19928
IsPrefixOfStringInTable_7,$BadClus,19548
IsPrefixOfStringInTable_8,$BadClus,19058
IsPrefixOfStringInTable_9,$BadClus,19132
IsPrefixOfStringInTable_10,$BadClus,18786
IsPrefixOfStringInTable_11,$BadClus,18076
IsPrefixOfStringInTable_12,$BadClus,19070
IsPrefixOfStringInTable_13,$BadClus,16614
IsPrefixOfStringInTable_14,$BadClus,17116
IsPrefixOfStringInTable_x64_1,$BadClus,7528
IsPrefixOfStringInTable_x64_2,$BadClus,24762
IsPrefixOfStringInTable_x64_3,$BadClus,59996
IsPrefixOfStringInTable_x64_4,$BadClus,23954
IsPrefixOfStringInTable_x64_5,$BadClus,23782
IntegerDivision_x64_1,$BadClus,95318
IsPrefixOfCStrInArray,$Bitmap,46604
IsPrefixOfStringInTable_1,$Bitmap,27032
IsPrefixOfStringInTable_2,$Bitmap,22036
IsPrefixOfStringInTable_3,$Bitmap,21612
IsPrefixOfStringInTable_4,$Bitmap,22998
IsPrefixOfStringInTable_5,$Bitmap,65400
IsPrefixOfStringInTable_6,$Bitmap,19938
IsPrefixOfStringInTable_7,$Bitmap,19576
IsPrefixOfStringInTable_8,$Bitmap,19404
IsPrefixOfStringInTable_9,$Bitmap,19136
IsPrefixOfStringInTable_10,$Bitmap,18814
IsPrefixOfStringInTable_11,$Bitmap,18092
IsPrefixOfStringInTable_12,$Bitmap,19076
IsPrefixOfStringInTable_13,$Bitmap,16610
IsPrefixOfStringInTable_14,$Bitmap,17128
IsPrefixOfStringInTable_x64_1,$Bitmap,7526
IsPrefixOfStringInTable_x64_2,$Bitmap,24760
IsPrefixOfStringInTable_x64_3,$Bitmap,60002
IsPrefixOfStringInTable_x64_4,$Bitmap,23942
IsPrefixOfStringInTable_x64_5,$Bitmap,23774
IntegerDivision_x64_1,$Bitmap,95318
IsPrefixOfCStrInArray,$Boot,53892
IsPrefixOfStringInTable_1,$Boot,25554
IsPrefixOfStringInTable_2,$Boot,22036
IsPrefixOfStringInTable_3,$Boot,21632
IsPrefixOfStringInTable_4,$Boot,22932
IsPrefixOfStringInTable_5,$Boot,65400
IsPrefixOfStringInTable_6,$Boot,19930
IsPrefixOfStringInTable_7,$Boot,19552
IsPrefixOfStringInTable_8,$Boot,19394
IsPrefixOfStringInTable_9,$Boot,19142
IsPrefixOfStringInTable_10,$Boot,18816
IsPrefixOfStringInTable_11,$Boot,18202
IsPrefixOfStringInTable_12,$Boot,19076
IsPrefixOfStringInTable_13,$Boot,16608
IsPrefixOfStringInTable_14,$Boot,17046
IsPrefixOfStringInTable_x64_1,$Boot,7524
IsPrefixOfStringInTable_x64_2,$Boot,24774
IsPrefixOfStringInTable_x64_3,$Boot,60006
IsPrefixOfStringInTable_x64_4,$Boot,23954
IsPrefixOfStringInTable_x64_5,$Boot,23822
IntegerDivision_x64_1,$Boot,95316
IsPrefixOfCStrInArray,$Extend,66034
IsPrefixOfStringInTable_1,$Extend,47392
IsPrefixOfStringInTable_2,$Extend,22104
IsPrefixOfStringInTable_3,$Extend,21610
IsPrefixOfStringInTable_4,$Extend,22820
IsPrefixOfStringInTable_5,$Extend,65406
IsPrefixOfStringInTable_6,$Extend,19958
IsPrefixOfStringInTable_7,$Extend,19580
IsPrefixOfStringInTable_8,$Extend,19390
IsPrefixOfStringInTable_9,$Extend,19136
IsPrefixOfStringInTable_10,$Extend,18822
IsPrefixOfStringInTable_11,$Extend,18078
IsPrefixOfStringInTable_12,$Extend,19066
IsPrefixOfStringInTable_13,$Extend,16632
IsPrefixOfStringInTable_14,$Extend,17116
IsPrefixOfStringInTable_x64_1,$Extend,7526
IsPrefixOfStringInTable_x64_2,$Extend,24754
IsPrefixOfStringInTable_x64_3,$Extend,60002
IsPrefixOfStringInTable_x64_4,$Extend,23944
IsPrefixOfStringInTable_x64_5,$Extend,23816
IntegerDivision_x64_1,$Extend,95318
IsPrefixOfCStrInArray,$MftMirr,89948
IsPrefixOfStringInTable_1,$MftMirr,80270
IsPrefixOfStringInTable_2,$MftMirr,22036
IsPrefixOfStringInTable_3,$MftMirr,21632
IsPrefixOfStringInTable_4,$MftMirr,22992
IsPrefixOfStringInTable_5,$MftMirr,65390
IsPrefixOfStringInTable_6,$MftMirr,19934
IsPrefixOfStringInTable_7,$MftMirr,19580
IsPrefixOfStringInTable_8,$MftMirr,19346
IsPrefixOfStringInTable_9,$MftMirr,19138
IsPrefixOfStringInTable_10,$MftMirr,18810
IsPrefixOfStringInTable_11,$MftMirr,18192
IsPrefixOfStringInTable_12,$MftMirr,19044
IsPrefixOfStringInTable_13,$MftMirr,16614
IsPrefixOfStringInTable_14,$MftMirr,17142
IsPrefixOfStringInTable_x64_1,$MftMirr,7526
IsPrefixOfStringInTable_x64_2,$MftMirr,24754
IsPrefixOfStringInTable_x64_3,$MftMirr,60006
IsPrefixOfStringInTable_x64_4,$MftMirr,23962
IsPrefixOfStringInTable_x64_5,$MftMirr,23778
IntegerDivision_x64_1,$MftMirr,95320
IsPrefixOfCStrInArray,$LogFile,79202
IsPrefixOfStringInTable_1,$LogFile,71982
IsPrefixOfStringInTable_2,$LogFile,22108
IsPrefixOfStringInTable_3,$LogFile,21608
IsPrefixOfStringInTable_4,$LogFile,22970
IsPrefixOfStringInTable_5,$LogFile,65386
IsPrefixOfStringInTable_6,$LogFile,19954
IsPrefixOfStringInTable_7,$LogFile,19566
IsPrefixOfStringInTable_8,$LogFile,19352
IsPrefixOfStringInTable_9,$LogFile,19150
IsPrefixOfStringInTable_10,$LogFile,18792
IsPrefixOfStringInTable_11,$LogFile,18142
IsPrefixOfStringInTable_12,$LogFile,19046
IsPrefixOfStringInTable_13,$LogFile,16612
IsPrefixOfStringInTable_14,$LogFile,17116
IsPrefixOfStringInTable_x64_1,$LogFile,7524
IsPrefixOfStringInTable_x64_2,$LogFile,24760
IsPrefixOfStringInTable_x64_3,$LogFile,59998
IsPrefixOfStringInTable_x64_4,$LogFile,23942
IsPrefixOfStringInTable_x64_5,$LogFile,23780
IntegerDivision_x64_1,$LogFile,95320
IsPrefixOfCStrInArray,$Mft,101354
IsPrefixOfStringInTable_1,$Mft,32022
IsPrefixOfStringInTable_2,$Mft,22034
IsPrefixOfStringInTable_3,$Mft,21608
IsPrefixOfStringInTable_4,$Mft,22968
IsPrefixOfStringInTable_5,$Mft,65400
IsPrefixOfStringInTable_6,$Mft,19928
IsPrefixOfStringInTable_7,$Mft,19540
IsPrefixOfStringInTable_8,$Mft,19346
IsPrefixOfStringInTable_9,$Mft,19140
IsPrefixOfStringInTable_10,$Mft,18794
IsPrefixOfStringInTable_11,$Mft,18048
IsPrefixOfStringInTable_12,$Mft,19106
IsPrefixOfStringInTable_13,$Mft,16618
IsPrefixOfStringInTable_14,$Mft,17116
IsPrefixOfStringInTable_x64_1,$Mft,7524
IsPrefixOfStringInTable_x64_2,$Mft,24776
IsPrefixOfStringInTable_x64_3,$Mft,60000
IsPrefixOfStringInTable_x64_4,$Mft,23936
