Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Age_Class,Fare_Class,relatives,Last_Name,Pronoun
0.0,3,Owen Harris,1,22.0,1,0,720,7.25,2,2.0,1.0,1,100,12
1.0,1,John Bradley (Florence Briggs Thayer),0,38.0,1,0,816,71.2833,0,2.0,1.0,1,182,13
1.0,3,Laina,0,26.0,0,0,914,7.925,2,2.0,1.0,0,329,9
1.0,1,Jacques Heath (Lily May Peel),0,35.0,1,0,65,53.1,2,2.0,1.0,1,267,13
0.0,3,William Henry,1,35.0,0,0,649,8.05,2,2.0,1.0,0,15,12
0.0,3,James,1,35.0,0,0,373,8.4583,1,2.0,1.0,0,538,12
0.0,1,Timothy J,1,54.0,0,0,109,51.8625,2,3.0,1.0,0,500,12
0.0,3,Gosta Leonard,1,2.0,3,1,541,21.075,2,1.0,1.0,4,608,8
1.0,3,Oscar W (Elisabeth Vilhelmina Berg),0,27.0,0,2,477,11.1333,2,2.0,1.0,2,382,13
1.0,2,Nicholas (Adele Achem),0,14.0,1,0,174,30.0708,0,1.0,1.0,1,559,13
1.0,3,Marguerite Rut,0,4.0,1,1,839,16.7,2,1.0,1.0,2,707,9
1.0,1,Elizabeth,0,58.0,0,0,50,26.55,2,3.0,1.0,0,86,9
0.0,3,William Henry,1,20.0,0,0,733,8.05,2,2.0,1.0,0,709,12
0.0,3,Anders Johan,1,39.0,1,5,459,31.275,2,2.0,1.0,6,21,12
0.0,3,Hulda Amanda Adolfina,0,14.0,0,0,566,7.8542,2,1.0,1.0,0,821,9
1.0,2,(Mary D Kingcome),0,55.0,0,0,204,16.0,2,3.0,1.0,0,336,13
0.0,3,Eugene,1,2.0,4,1,659,29.125,1,1.0,1.0,5,664,8
1.0,2,Charles Eugene,1,2.0,0,0,201,13.0,2,1.0,1.0,0,850,12
0.0,3,Julius (Emelia Maria Vandemoortele),0,31.0,1,0,417,18.0,2,2.0,1.0,1,817,13
1.0,3,Fatima,0,31.0,0,0,243,7.225,0,2.0,1.0,0,494,13
0.0,2,Joseph J,1,35.0,0,0,182,26.0,2,2.0,1.0,0,268,12
1.0,2,Lawrence,1,34.0,0,0,203,13.0,2,2.0,1.0,0,68,12
1.0,3,"Anna ""Annie""",0,15.0,0,0,379,8.0292,1,1.0,1.0,0,509,9
1.0,1,William Thompson,1,28.0,0,0,54,35.5,2,2.0,1.0,0,744,12
0.0,3,Torborg Danira,0,8.0,3,1,541,21.075,2,1.0,1.0,4,608,9
1.0,3,Carl Oscar (Selma Augusta Emilia Johansson),0,38.0,1,5,454,31.3875,2,2.0,1.0,6,33,13
0.0,3,Farred Chehab,1,38.0,0,0,238,7.225,0,2.0,1.0,0,237,12
0.0,1,Charles Alexander,1,19.0,3,2,123,263.0,2,1.0,3.0,5,257,12
1.0,3,"Ellen ""Nellie""",0,19.0,0,0,385,7.8792,1,1.0,1.0,0,587,9
0.0,3,Lalio,1,19.0,0,0,499,7.8958,2,1.0,1.0,0,794,12
0.0,1,Manuel E,1,40.0,0,0,818,27.7208,0,2.0,1.0,0,810,2
