Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,Gender Development Index value,Gender Development Index Group,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15–64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people)","Deaths due to Tuberculosis (per 100,000 people)","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015,HDI,Country
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,continuous,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,class,meta
81.7,12.7,67614.0,0.993,1.0,83.7,79.7,12.8,12.7,59800.0,75314.0,39.6,96.1,94.6,61.2,5.1999998093,5.9000000954,0.6,1.3,80.5,0.3,3.4000000954,0.9,39.1,27.3,24.9,1.8,1.8,,1.0,6.0,,2.0,2.6,44.0,69.0,,0.2,,23.9,42.8,8.3,62.2,64.9,2.1,77.0,4.1,10.1,5.5,5.3,,,,100.0,96.8,-0.8000000119,5.4,3.3,0.918,2.4,0.894,10.4,0.882,3.8,0.9,25.9,0.949,Norway
82.5,13.2,42822.0,0.978,1.0,84.6,80.5,13.4,13.0,34271.0,51386.0,30.5,91.4,91.5,58.6,24.0,28.5,1.2,1.6,89.4,1.5,15.8999996185,3.6,37.5,28.2,22.7,1.8,1.9,,8.0,7.0,2.0,3.0,3.8,,,,0.2,0.2,24.9,32.7,6.3,60.7,64.7,2.6,69.5,6.3,13.5,9.8,,,,,83.0,84.6,32.2000007629,8.0,4.3,0.921,1.9,0.921,17.7,0.753,6.0,1.4,34.9,0.939,Australia
83.1,13.4,56364.0,0.974,2.0,85.1,81.0,13.3,13.5,46798.0,66116.0,28.9,96.1,97.4,62.7,8.3000001907,9.1999998093,0.7,1.2,73.9,0.4,5.5999999046,1.5,42.3,22.0,26.9,1.4,1.5,,2.0,7.0,,3.4,3.9,,,,0.1,,25.0,40.5,7.7,65.7,68.7,3.2,73.9,4.3,7.0,7.3,9.1,,,98,100.0,88.0,15.3000001907,8.4,3.8,0.934,5.7,0.84,15.7,0.806,4.9,1.2,31.6,0.939,Switzerland
81.1,13.2,45000.0,0.964,2.0,83.4,78.7,12.9,13.6,35878.0,54440.0,36.9,96.4,97.0,54.5,80.6999969482,79.3000030518,-0.2,0.1,75.3,3.4,53.2000007629,17.1,46.2,19.6,32.2,1.4,1.4,,2.0,3.0,1.3,3.1,3.7,,,,0.4,,23.5,38.9,8.7,57.6,60.3,1.3,70.4,4.6,7.1,6.4,6.3,,,98,100.0,87.6,9.6000003815,7.0,3.7,0.905,2.6,0.891,14.8,0.787,4.6,1.1,30.1,0.926,Germany
80.4,12.7,44519.0,0.97,2.0,82.3,78.5,12.6,12.9,36857.0,52293.0,37.4,89.1,98.5,58.0,5.6999998093,6.0,0.3,0.4,87.7,0.3,3.5999999046,1.1,41.6,26.3,29.6,1.8,1.7,,4.0,10.0,,2.9,3.5,,,,0.4,,22.8,34.9,9.2,58.1,62.0,2.3,78.0,6.3,10.8,5.8,5.4,,,126,100.0,96.3,11.0,7.0,3.8,0.894,3.0,0.896,14.3,0.789,4.5,1.0,29.1,0.925,Denmark
83.2,11.6,78162.0,0.985,1.0,86.2,80.1,11.1,12.1,60787.0,96001.0,23.9,75.5,81.9,58.2,5.5999999046,6.4000000954,2.7,2.0,100.0,0.3,4.0999999046,0.7,40.0,21.4,16.1,1.3,1.2,,2.0,5.0,4.4,2.1,2.7,39.0,71.0,,1.0,,25.1,19.5,2.1,65.0,67.2,,70.6,3.3,7.3,18.9,8.7,,,105,0.0,82.1,0.5,,3.0,0.943,,,,,,,,0.925,Singapore
81.7,11.9,46326.0,0.946,3.0,83.5,79.9,11.6,12.2,30117.0,62773.0,36.4,86.2,90.3,57.5,16.8999996185,17.6000003815,0.5,0.4,90.5,0.9,11.0,3.1,42.7,25.3,27.9,1.7,1.8,,2.0,4.0,,3.2,3.8,,,,0.1,,23.8,28.6,9.5,59.9,63.8,2.0,75.3,6.1,8.8,5.0,12.8,,,112,100.0,93.1,7.0,6.8,3.7,0.914,4.2,0.859,12.4,0.812,4.2,1.0,28.0,0.924,Netherlands
81.1,12.3,43798.0,0.976,1.0,83.1,79.0,12.5,11.9,33497.0,54135.0,19.9,86.8,82.2,52.4,4.6999998093,5.1999998093,1.8,0.3,63.2,0.4,3.0999999046,0.6,36.9,33.5,20.2,2.0,2.0,,2.0,7.0,,3.0,3.6,,,,0.4,,23.4,26.7,5.1,54.3,60.0,6.1,75.2,9.5,20.9,15.2,12.7,,,182,90.5,80.1,-1.5,7.7,3.7,0.905,3.0,0.883,16.3,0.769,5.3,1.3,32.5,0.923,Ireland
82.7,12.2,37065.0,0.965,2.0,84.2,81.2,12.2,12.6,30530.0,43576.0,41.3,100.0,97.2,70.7,0.3000000119,0.400000006,1.1,0.7,94.1,0.0,0.200000003,0.0,36.0,30.8,20.8,2.0,2.0,,4.0,10.0,,1.6,2.0,39.0,67.0,,0.3,,24.5,34.8,7.2,70.8,74.1,4.2,77.1,4.4,8.7,5.8,8.5,,,90,100.0,98.2,6.3000001907,5.7,2.9,0.937,2.5,0.884,11.7,0.789,4.0,1.0,26.9,0.921,Iceland
82.2,13.1,42582.0,0.983,1.0,84.1,80.2,13.3,12.9,33288.0,52026.0,28.3,100.0,100.0,61.0,35.9000015259,40.4000015259,1.0,1.0,81.8,1.9,,5.8,40.6,23.5,23.8,1.5,1.6,,2.0,5.0,,4.3,4.9,,,,0.2,,24.7,20.7,7.4,61.0,65.6,2.1,78.2,6.9,13.2,13.3,,,,105,97.7,88.5,8.3000001907,8.7,4.7,0.912,3.9,0.856,17.4,0.755,5.8,1.3,33.7,0.92,Canada
79.2,13.2,53245.0,0.993,1.0,81.6,76.9,13.2,13.2,42272.0,64410.0,19.5,95.4,95.1,56.0,321.799987793,355.799987793,0.9,0.8,81.6,19.7,213.1999969482,47.6,38.0,28.6,22.3,2.0,1.9,,2.0,9.0,2.1,5.6,6.5,78.0,131.0,,0.1,,23.3,24.5,8.3,58.8,62.1,1.6,81.2,5.3,11.8,16.5,,,,,92.5,74.6,28.7999992371,12.9,6.1,0.856,5.6,0.85,27.0,0.692,9.1,2.0,41.1,0.92,US
84.2,11.6,54265.0,0.964,2.0,87.0,81.4,11.5,12.4,39525.0,70921.0,,80.9,74.7,53.4,7.3000001907,8.0,0.2,0.8,100.0,0.4,5.3000001907,1.1,43.2,16.4,20.6,1.0,1.2,,,,,,,32.0,64.0,,2.5,,25.8,,,58.3,60.3,,79.9,3.3,9.5,6.6,6.9,,,70,72.9,84.9,16.8999996185,,2.8,0.959,,,,,,,,0.917,Hong Kong
82.0,12.5,32870.0,0.963,2.0,83.7,80.3,12.6,12.5,24413.0,41718.0,31.4,98.8,98.7,62.4,4.5,5.0999999046,1.4,0.7,86.3,0.3,2.9000000954,0.7,38.0,31.1,22.9,1.9,2.1,,7.0,7.0,,4.7,5.7,52.0,81.0,,0.1,,24.5,27.4,9.1,63.6,67.6,6.4,73.0,5.9,14.4,11.9,,,,112,98.0,88.2,13.0,,4.6,0.91,,,,,,,,0.915,New Zealand
